Test Method,Test Method,,
Sample I. D.,Material and Date,,
Specimen Number,1,,
,,,
Time (min),Load (N),% Compression (%),Crosshead (mil)
,,,
0.244,245.305,238.583,-1.3858
0.244,245.862,238.583,-1.3858
0.245,246.279,238.976,-1.3898
0.245,246.749,239.37,-1.3937
0.245,247.154,239.764,-1.3976
0.246,247.694,240.158,-1.4016
0.246,248.105,240.551,-1.4055
0.246,248.565,240.945,-1.4094
0.247,249.025,241.339,-1.4134
0.247,249.448,241.732,-1.4173
0.247,249.683,242.126,-1.4213
0.248,249.982,242.52,-1.4252
0.248,250.35,242.913,-1.4291
0.248,250.704,242.913,-1.4291
0.249,251.274,243.307,-1.4331
0.249,251.515,243.701,-1.437
0.249,252.098,244.095,-1.4409
0.25,252.433,244.488,-1.4449
0.25,252.836,244.882,-1.4488
0.25,253.025,245.276,-1.4528
0.251,253.281,245.669,-1.4567
0.251,253.754,245.669,-1.4567
0.251,254.206,246.063,-1.4606
0.252,254.698,246.457,-1.4646
0.252,255.056,246.85,-1.4685
0.252,255.229,247.244,-1.4724
0.253,255.582,247.638,-1.4764
0.253,255.84,248.032,-1.4803
0.253,256.378,248.425,-1.4843
0.254,256.616,248.425,-1.4843
0.254,257.154,248.819,-1.4882
0.254,257.412,249.213,-1.4921
0.255,257.583,249.606,-1.4961
0.255,257.945,250,-1.5
0.255,258.231,250,-1.5
0.256,258.83,250.394,-1.5039
0.256,259.073,250.787,-1.5079
0.256,259.361,251.181,-1.5118
0.257,259.668,251.575,-1.5157
0.257,259.969,251.575,-1.5157
0.257,260.516,251.969,-1.5197
0.258,260.88,252.362,-1.5236
0.258,261.256,252.756,-1.5276
0.258,261.393,253.15,-1.5315
0.259,261.623,253.543,-1.5354
0.259,262.06,253.543,-1.5354
0.259,262.665,253.937,-1.5394
